Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
64, 10888, 193, 10695, 1260
64, 10888, 193, 10695, 1260
64, 10888, 193, 10695, 1260
64, 10890, 193, 10697, 1004
64, 10890, 193, 10697, 1420
64, 10890, 193, 10697, 256
64, 10890, 193, 10697, 256
64, 10461, 194, 10267, 1209
64, 10461, 194, 10267, 1209
64, 10461, 194, 10267, 1209
64, 10461, 194, 10267, 1209
64, 10462, 194, 10268, 574
64, 10464, 194, 10270, 1348
64, 10464, 194, 10270, 242
64, 10465, 194, 10271, 240
64, 10465, 194, 10271, 242
64, 10465, 194, 10271, 242
64, 10465, 194, 10271, 242
64, 10465, 194, 10271, 242
64, 10465, 194, 10271, 570
64, 10466, 194, 10272, 322
64, 10466, 194, 10272, 577
64, 10467, 194, 10273, 1193
64, 10467, 194, 10273, 574
64, 10468, 194, 10274, 1516
64, 10468, 194, 10274, 812
64, 10468, 194, 10274, 812
64, 10567, 194, 10373, 1467
64, 10567, 194, 10373, 1467
64, 10569, 194, 10375, 327
64, 10569, 194, 10375, 327
64, 10571, 194, 10377, 1454
64, 10774, 194, 10580, 1484
64, 10774, 194, 10580, 1484
64, 10774, 194, 10580, 1486
64, 10774, 194, 10580, 1486
64, 10774, 194, 10580, 1486
64, 10774, 194, 10580, 1486
64, 10774, 194, 10580, 1486
64, 10774, 194, 10580, 1486
64, 10776, 194, 10582, 1648
64, 10776, 194, 10582, 1648
64, 10776, 194, 10582, 1648
64, 10776, 194, 10582, 1648
64, 10776, 194, 10582, 1648
64, 10777, 194, 10583, 247
64, 10778, 194, 10584, 1230
64, 10778, 194, 10584, 1230
64, 10778, 194, 10584, 1230
64, 10778, 194, 10584, 1230
64, 10778, 194, 10584, 1230
64, 10778, 194, 10584, 1242
64, 10780, 194, 10586, 171
64, 10780, 194, 10586, 171
64, 10790, 194, 10596, 1161
64, 10790, 194, 10596, 998
64, 10792, 194, 10598, 927
64, 10885, 194, 10691, 1420
64, 10885, 194, 10691, 1422
64, 10885, 194, 10691, 1422
64, 10885, 194, 10691, 1422
64, 10885, 194, 10691, 1422
64, 10885, 194, 10691, 1422
64, 10888, 194, 10694, 1344
64, 10888, 194, 10694, 1505
64, 10891, 194, 10697, 1179
64, 10891, 194, 10697, 417
64, 10891, 194, 10697, 417
64, 10891, 194, 10697, 924
64, 10457, 195, 10262, 813
64, 10457, 195, 10262, 893
64, 10457, 195, 10262, 893
64, 10457, 195, 10262, 893
64, 10457, 195, 10262, 893
64, 10457, 195, 10262, 893
64, 10458, 195, 10263, 246
64, 10460, 195, 10265, 167
64, 10461, 195, 10266, 405
64, 10462, 195, 10267, 1368
64, 10463, 195, 10268, 1212
64, 10463, 195, 10268, 1212
64, 10463, 195, 10268, 1212
64, 10463, 195, 10268, 1212
64, 10463, 195, 10268, 1290
64, 10463, 195, 10268, 1290
64, 10463, 195, 10268, 1292
64, 10463, 195, 10268, 1292
64, 10463, 195, 10268, 1449
64, 10463, 195, 10268, 1449
64, 10464, 195, 10269, 410
64, 10464, 195, 10269, 973
64, 10465, 195, 10270, 1122
64, 10466, 195, 10271, 1125
64, 10466, 195, 10271, 1372
64, 10466, 195, 10271, 737
64, 10466, 195, 10271, 737
64, 10466, 195, 10271, 737
64, 10466, 195, 10271, 737
64, 10466, 195, 10271, 737
64, 10466, 195, 10271, 737
64, 10466, 195, 10271, 737
64, 10466, 195, 10271, 737
64, 10467, 195, 10272, 1212
64, 10467, 195, 10272, 1440
64, 10467, 195, 10272, 478
64, 10467, 195, 10272, 974
64, 10467, 195, 10272, 977
64, 10468, 195, 10273, 1519
64, 10468, 195, 10273, 1519
64, 10468, 195, 10273, 1589
64, 10468, 195, 10273, 242
64, 10468, 195, 10273, 245
64, 10468, 195, 10273, 803
64, 10469, 195, 10274, 964
64, 10470, 195, 10275, 245
64, 10470, 195, 10275, 323
64, 10561, 195, 10366, 577
64, 10561, 195, 10366, 577
64, 10561, 195, 10366, 577
64, 10563, 195, 10368, 328
64, 10563, 195, 10368, 328
64, 10563, 195, 10368, 328
64, 10563, 195, 10368, 328
64, 10564, 195, 10369, 739
64, 10564, 195, 10369, 739
64, 10564, 195, 10369, 739
64, 10564, 195, 10369, 739
64, 10566, 195, 10371, 574
64, 10566, 195, 10371, 574
64, 10574, 195, 10379, 815
64, 10575, 195, 10380, 407
64, 10575, 195, 10380, 407
64, 10775, 195, 10580, 1245
64, 10776, 195, 10581, 1247
64, 10776, 195, 10581, 415
64, 10776, 195, 10581, 417
64, 10776, 195, 10581, 417
64, 10776, 195, 10581, 417
64, 10776, 195, 10581, 417
64, 10776, 195, 10581, 663
64, 10777, 195, 10582, 417
64, 10777, 195, 10582, 922
64, 10777, 195, 10582, 922
64, 10779, 195, 10584, 1077
64, 10779, 195, 10584, 1077
64, 10779, 195, 10584, 1077
64, 10779, 195, 10584, 1077
64, 10779, 195, 10584, 1162
64, 10779, 195, 10584, 1162
64, 10779, 195, 10584, 1162
64, 10779, 195, 10584, 1162
64, 10779, 195, 10584, 1162
64, 10779, 195, 10584, 1162
64, 10779, 195, 10584, 1162
64, 10779, 195, 10584, 1162
64, 10779, 195, 10584, 1493
64, 10779, 195, 10584, 1493
64, 10780, 195, 10585, 1160
64, 10780, 195, 10585, 1160
64, 10780, 195, 10585, 1160
64, 10780, 195, 10585, 1160
64, 10780, 195, 10585, 1160
64, 10780, 195, 10585, 1243
64, 10780, 195, 10585, 1243
64, 10780, 195, 10585, 1493
64, 10781, 195, 10586, 764
64, 10782, 195, 10587, 421
64, 10782, 195, 10587, 920
64, 10783, 195, 10588, 586
64, 10784, 195, 10589, 1079
64, 10784, 195, 10589, 1488
64, 10784, 195, 10589, 1488
64, 10785, 195, 10590, 1002
64, 10786, 195, 10591, 1569
64, 10787, 195, 10592, 1501
64, 10793, 195, 10598, 1248
64, 10886, 195, 10691, 1339
64, 10889, 195, 10694, 764
64, 10889, 195, 10694, 764
64, 10889, 195, 10694, 764
64, 10891, 195, 10696, 1343
64, 10891, 195, 10696, 1343
64, 10892, 195, 10697, 1509
64, 10892, 195, 10697, 592
64, 10894, 195, 10699, 334
64, 10894, 195, 10699, 768
64, 10895, 195, 10700, 421
64, 10895, 195, 10700, 421
64, 10899, 195, 10704, 838
