192	16 927 9387 171
193	16 927 9478 199
194	16 927 9632 173
195	16 927 9745 134
196	16 928 9448 227
197	16 928 9502 175
198	16 928 9609 230
199	16 930 9203 119
200	16 930 9358 197
201	16 930 9462 136
202	16 930 9616 213
203	16 930 9799 124
204	16 931 9293 120
205	16 932 9212 113
206	16 932 9278 161
207	16 932 9298 161
208	16 932 9462 189
209	16 932 9689 184
210	16 933 9499 167
211	16 933 9567 73
212	16 933 9596 145
213	16 933 9668 173
214	16 934 9213 154
215	16 934 9324 109
216	16 934 9619 81
217	16 934 9669 201
218	16 935 9188 129
219	16 935 9272 156
220	16 935 9289 153
221	16 935 9339 140
222	16 935 9457 128
223	16 935 9552 120
224	16 936 9358 187
225	16 936 9649 134
226	16 937 9352 126
227	16 937 9421 168
228	16 938 9196 161
229	16 938 9383 73
230	16 938 9660 185
231	16 939 9319 217
232	16 939 9406 144
233	16 940 9332 132
234	16 940 9535 256
235	16 940 9702 184
236	16 940 9753 200
237	16 941 9363 99
238	16 941 9416 165
239	16 942 9496 92
240	16 942 9776 165
241	16 943 9332 189
242	16 943 9350 128
243	16 943 9451 135
244	16 943 9606 269
245	16 944 9238 184
246	16 944 9433 143
247	16 944 9466 165
248	16 944 9546 209
249	16 945 9275 80
250	16 945 9372 179
251	16 945 9379 107
252	16 945 9474 196
253	16 945 9497 150
254	16 947 9384 160
255	16 947 9432 137
256	16 947 9433 215
257	16 947 9502 201
258	16 947 9702 159
259	16 947 9767 182
260	16 948 9201 125
261	16 948 9394 179
262	16 948 9473 185
263	16 949 9289 96
264	16 949 9361 145
265	16 949 9367 190
266	16 949 9421 168
267	16 950 9482 191
268	16 951 9429 147
269	16 951 9463 141
270	16 951 9498 151
271	16 951 9592 103
272	16 952 9630 143
273	16 952 9661 132
274	16 953 9180 98
275	16 953 9316 121
276	16 953 9350 310
277	16 953 9472 233
278	16 954 9298 135
279	16 954 9607 173
280	16 954 9612 170
281	16 955 9308 171
282	16 955 9557 71
283	16 955 9631 191
284	16 955 9642 161
285	16 955 9752 182
286	16 956 9448 220
287	16 957 9240 122
288	16 958 9274 136
289	16 958 9318 177
290	16 958 9453 137
291	16 959 9683 121
292	16 959 9752 162
293	16 960 9193 140
294	16 960 9363 163
295	16 960 9398 218
296	16 961 9441 153
297	16 961 9509 152
