Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs, Valid_Ptrs
16, 10449, 951, 9498, 151
16, 10543, 951, 9592, 103
16, 10582, 952, 9630, 143
16, 10613, 952, 9661, 132
16, 10133, 953, 9180, 98
16, 10269, 953, 9316, 121
16, 10303, 953, 9350, 310
16, 10425, 953, 9472, 233
16, 10252, 954, 9298, 135
16, 10561, 954, 9607, 173
16, 10566, 954, 9612, 170
16, 10263, 955, 9308, 171
16, 10512, 955, 9557, 71
16, 10586, 955, 9631, 191
16, 10597, 955, 9642, 161
16, 10707, 955, 9752, 182
16, 10404, 956, 9448, 220
16, 10197, 957, 9240, 122
16, 10232, 958, 9274, 136
16, 10276, 958, 9318, 177
16, 10411, 958, 9453, 137
16, 10642, 959, 9683, 121
16, 10711, 959, 9752, 162
16, 10153, 960, 9193, 140
16, 10323, 960, 9363, 163
16, 10358, 960, 9398, 218
16, 10402, 961, 9441, 153
16, 10470, 961, 9509, 152
16, 10299, 962, 9337, 139
16, 10424, 962, 9462, 179
16, 10477, 962, 9515, 138
16, 10791, 962, 9829, 147
16, 10123, 964, 9159, 119
16, 10355, 964, 9391, 184
16, 10420, 964, 9456, 95
16, 10421, 965, 9456, 172
16, 10528, 965, 9563, 150
16, 10479, 966, 9513, 151
16, 10109, 967, 9142, 103
16, 10150, 967, 9183, 115
16, 10512, 967, 9545, 147
16, 10267, 968, 9299, 132
16, 10293, 968, 9325, 186
16, 10301, 968, 9333, 135
16, 10363, 968, 9395, 72
16, 10367, 968, 9399, 174
16, 10430, 968, 9462, 138
16, 10523, 968, 9555, 143
16, 10271, 970, 9301, 138
16, 10085, 971, 9114, 160
16, 10151, 971, 9180, 121
16, 10185, 971, 9214, 182
16, 10229, 971, 9258, 141
16, 10256, 971, 9285, 71
16, 10489, 971, 9518, 155
16, 10609, 971, 9638, 112
16, 10724, 971, 9753, 160
16, 10086, 972, 9114, 149
16, 10110, 972, 9138, 153
16, 10331, 972, 9359, 155
16, 10500, 972, 9528, 68
16, 10616, 972, 9644, 250
16, 10350, 973, 9377, 202
16, 10513, 973, 9540, 167
16, 10188, 974, 9214, 98
16, 10318, 974, 9344, 191
16, 10216, 975, 9241, 203
16, 10476, 975, 9501, 185
16, 10497, 975, 9522, 152
16, 10506, 976, 9530, 105
16, 10526, 976, 9550, 129
16, 10637, 976, 9661, 107
16, 10243, 977, 9266, 114
16, 10269, 977, 9292, 101
16, 10320, 977, 9343, 135
16, 10373, 977, 9396, 159
16, 10474, 977, 9497, 104
16, 10574, 977, 9597, 141
16, 10604, 977, 9627, 109
16, 10204, 978, 9226, 131
16, 10351, 978, 9373, 156
16, 10433, 978, 9455, 92
16, 10480, 978, 9502, 197
16, 10564, 978, 9586, 73
16, 10138, 979, 9159, 285
16, 10196, 979, 9217, 100
16, 10299, 979, 9320, 119
16, 10528, 979, 9549, 157
16, 10619, 979, 9640, 153
16, 10092, 980, 9112, 150
16, 10586, 980, 9606, 160
16, 10724, 980, 9744, 182
16, 10313, 981, 9332, 104
16, 10315, 981, 9334, 130
16, 10786, 982, 9804, 153
16, 10165, 983, 9182, 160
16, 10367, 983, 9384, 201
16, 10611, 983, 9628, 152
16, 10009, 984, 9025, 136
16, 10352, 984, 9368, 190
16, 10509, 984, 9525, 182
16, 10548, 985, 9563, 174
16, 10218, 986, 9232, 182
16, 10325, 986, 9339, 133
16, 10102, 987, 9115, 163
16, 10335, 987, 9348, 221
16, 10282, 988, 9294, 194
16, 10532, 988, 9544, 137
16, 10689, 988, 9701, 124
16, 10173, 989, 9184, 150
16, 10227, 989, 9238, 89
16, 10267, 989, 9278, 184
16, 10445, 989, 9456, 175
16, 10641, 989, 9652, 198
16, 10064, 990, 9074, 138
16, 10223, 990, 9233, 143
16, 10183, 991, 9192, 165
16, 10366, 991, 9375, 128
16, 10602, 991, 9611, 211
16, 10289, 992, 9297, 143
16, 10310, 992, 9318, 141
16, 10624, 993, 9631, 136
16, 10300, 994, 9306, 150
16, 10343, 994, 9349, 214
16, 10525, 994, 9531, 132
16, 10137, 995, 9142, 154
16, 10240, 995, 9245, 132
16, 10401, 995, 9406, 175
16, 10672, 995, 9677, 168
16, 10748, 995, 9753, 165
16, 10387, 997, 9390, 120
16, 10397, 997, 9400, 120
16, 10426, 997, 9429, 169
16, 10590, 997, 9593, 74
16, 10604, 997, 9607, 180
16, 10190, 998, 9192, 46
16, 10216, 998, 9218, 168
16, 10252, 998, 9254, 119
16, 10310, 998, 9312, 157
16, 10377, 1000, 9377, 105
16, 10437, 1000, 9437, 162
16, 10481, 1000, 9481, 164
16, 10577, 1000, 9577, 179
16, 10100, 1001, 9099, 125
16, 10201, 1001, 9200, 198
16, 10403, 1001, 9402, 116
16, 10548, 1001, 9547, 125
16, 10571, 1001, 9570, 152
16, 10737, 1001, 9736, 163
16, 10730, 1002, 9728, 157
16, 10450, 1003, 9447, 156
16, 10552, 1003, 9549, 127
16, 10091, 1004, 9087, 177
16, 10176, 1004, 9172, 43
16, 10264, 1004, 9260, 176
16, 10243, 1005, 9238, 90
16, 10328, 1005, 9323, 115
16, 10468, 1005, 9463, 182
16, 10365, 1006, 9359, 124
16, 10538, 1006, 9532, 161
16, 10089, 1007, 9082, 148
16, 10110, 1007, 9103, 120
16, 10238, 1007, 9231, 166
16, 10246, 1007, 9239, 122
16, 10659, 1007, 9652, 168
16, 10342, 1008, 9334, 147
16, 10152, 1009, 9143, 145
16, 10326, 1009, 9317, 124
16, 10484, 1009, 9475, 185
16, 10512, 1009, 9503, 172
16, 10597, 1009, 9588, 162
16, 10718, 1009, 9709, 204
16, 10167, 1010, 9157, 149
16, 10272, 1010, 9262, 149
16, 10248, 1011, 9237, 191
16, 10218, 1012, 9206, 126
16, 10422, 1012, 9410, 88
16, 10312, 1013, 9299, 167
16, 10555, 1014, 9541, 215
16, 10556, 1014, 9542, 127
16, 10567, 1016, 9551, 151
16, 10130, 1017, 9113, 88
16, 10189, 1017, 9172, 152
16, 10377, 1017, 9360, 119
16, 10215, 1018, 9197, 235
16, 10373, 1018, 9355, 140
16, 10089, 1019, 9070, 150
16, 10430, 1020, 9410, 110
16, 10449, 1020, 9429, 184
16, 10614, 1020, 9594, 177
16, 10088, 1021, 9067, 141
16, 10161, 1021, 9140, 128
16, 10320, 1021, 9299, 154
16, 10366, 1021, 9345, 183
16, 10385, 1021, 9364, 170
16, 10580, 1021, 9559, 121
16, 10109, 1022, 9087, 106
16, 10121, 1022, 9099, 168
16, 10358, 1022, 9336, 219
16, 10390, 1022, 9368, 188
16, 10136, 1023, 9113, 150
16, 10223, 1023, 9200, 115
16, 10252, 1023, 9229, 149
16, 10332, 1023, 9309, 143
16, 10103, 1024, 9079, 108
16, 10144, 1024, 9120, 116
16, 10167, 1024, 9143, 187
16, 10540, 1024, 9516, 131
16, 10569, 1024, 9545, 67
16, 10276, 1025, 9251, 136
16, 10296, 1025, 9271, 145
16, 10451, 1025, 9426, 146
16, 10620, 1025, 9595, 190
16, 10055, 1026, 9029, 180
16, 10233, 1026, 9207, 149
16, 10260, 1026, 9234, 152
16, 10271, 1026, 9245, 170
16, 10312, 1026, 9286, 154
16, 10221, 1027, 9194, 108
16, 10475, 1027, 9448, 160
16, 10515, 1027, 9488, 174
16, 10109, 1028, 9081, 75
16, 10254, 1028, 9226, 138
16, 10294, 1028, 9266, 88
16, 10130, 1029, 9101, 123
16, 10518, 1030, 9488, 133
16, 10569, 1031, 9538, 166
16, 10584, 1031, 9553, 130
16, 10304, 1032, 9272, 114
16, 10443, 1032, 9411, 141
16, 10574, 1032, 9542, 149
16, 10204, 1033, 9171, 167
16, 10231, 1033, 9198, 164
